push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
317530,210030,169055,573,202159,295113,401082,4551,193498,225571,354214,559
365499,268152,204726,612,150113,162867,177873,541,198031,206247,249255,576
182474,168137,152759,714,202553,202140,207434,511,160032,160845,144950,622
205178,210871,212648,513,212644,207297,163885,623,228058,225910,217394,771
147853,150881,152613,677,203647,241782,205230,559,146819,202390,165097,541
231986,211664,220715,586,151298,147310,169798,474,201657,207178,206546,518
156997,149205,160347,496,195307,319803,237730,535,169304,158514,146492,648
205506,206531,216599,512,162235,147302,145945,469,239250,224384,221629,524
178946,155382,160715,545,201720,214314,225187,631,167554,155780,152395,644
214966,250844,199329,480,151800,302301,205438,488,214637,193808,216648,565
169704,144951,159614,501,192395,213411,255762,718,157316,183120,157675,581
193076,192631,198903,474,151853,165457,154351,565,188976,211320,201804,475
173398,154478,158177,479,199749,271803,352492,482,146733,165603,153791,651
204185,230025,203949,696,154613,227579,157372,588,220806,222534,212926,608
169013,159130,150274,582,245465,214473,245711,599,163885,155946,176545,548
216927,214381,225565,527,155800,257052,202748,566,185376,234116,218882,525
177272,152342,176352,510,202379,206847,213606,469,143283,143226,142150,503
202175,211532,211158,514,141752,141179,158213,588,210229,229270,215202,555
172209,160420,155453,604,204048,219097,340495,593,161783,146610,161543,499
377904,335324,236017,476,188841,141785,156194,468,207886,206139,221153,507
