push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
196,372910,349714,306119,181,327123,339187,297524,190,320671,327798,295690
183,327508,334629,300761,190,324488,332743,301127,186,328095,337038,287564
183,328267,334797,293642,226,323331,334442,297705,194,331815,327094,308432
183,317147,334832,303819,264,321638,329110,301146,185,345708,335498,305483
186,322984,328101,292685,218,325278,323819,310662,203,346196,327249,284309
187,325022,340327,296085,261,316857,331197,294404,186,321922,333127,293175
216,327363,322721,297514,194,322642,341300,282023,188,330863,327300,291814
205,318394,327337,311439,181,318554,331182,308296,186,321846,332746,300467
187,324668,328354,296917,181,318423,282413,282820,202,329116,341910,303232
197,330478,347266,283205,2289,336707,331705,292875,188,326771,339568,279783
201,310962,328650,292909,301,327403,320669,319658,186,341607,329749,295880
