push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
5764,1324,672,7300,4283,515,560,5605,5021,553,585,4932
5082,2889,744,4141,6375,692,493,3907,4473,543,3103,3821
6355,808,2083,6132,3535,2482,502,1671,7723,555,530,3767
5640,718,2227,6162,4339,577,1741,3853,4915,640,764,3076
6743,711,807,8017,3392,522,2876,4647,5132,544,502,3465
5492,678,3291,4042,6041,503,569,3489,6606,597,486,4564
5027,875,1962,5940,3996,2192,2580,4442,7555,586,569,3858
5960,804,2619,5793,3999,794,4689,6541,3151,607,582,5127
2429,708,4791,4910,2101,4714,706,1682,6159,496,554,5406
2608,680,703,6380,7187,533,486,5122,2404,554,516,5732
2546,5730,691,2313,5560,525,547,5679,2217,489,490,5864
2439,3973,678,2457,6107,491,486,1603,6726,487,544,5632
2475,4646,762,4420,7143,663,497,1647,5329,487,490,1586
2427,690,676,5403,1962,482,4539,1574,2301,4506,538,1592
2512,696,686,6331,1972,4488,492,1601,6209,496,498,1625
2453,762,742,6372,2009,494,4884,1581,5801,536,486,1581
6506,685,680,4076,4637,527,486,1601,2188,8488,518,1588
3561,693,681,5464,2043,472,570,6161,4301,500,496,5677
2472,749,4718,5912,4135,492,493,4609,2172,488,593,5740
4597,679,715,10084,2068,548,528,1690,6376,515,489,1626
