push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
6506,1802,1742,2231,892970,913863,726755,491,771774,886556,771478,1102
2255,1826,1996,2020,979037,942989,820769,456,897775,898798,828434,446
2235,2009,2004,1922,1015949,953947,831603,482,951646,861778,834479,457
2320,2158,1973,1898,1004539,941304,815540,455,936484,867473,837516,496
2361,2061,5959,2167,1026071,952571,859549,462,897524,837626,869412,459
2286,1915,2068,1991,1002271,959343,899412,551,854988,853684,946186,454
3517,2189,1989,2026,1001086,976867,948711,446,817355,852055,834996,454
2342,2030,2005,2168,1010088,1033456,837947,458,828724,851712,820815,477
6281,1945,2072,3661,1034430,1055326,823615,456,820399,887847,875158,467
2271,1906,1965,2444,1002235,1073075,818162,558,844410,857305,835531,454
2272,1916,2021,1985,1094105,999667,840161,445,839660,854196,866932,461
2355,1887,2169,2026,994812,1056186,829096,468,833881,849163,826052,598
2314,2680,2043,1908,989911,1071476,807803,454,858918,846802,840315,454
2563,1987,2293,1928,1001247,1076245,816024,458,871932,867792,846126,454
2365,1926,2189,2062,1001857,1048267,817043,464,838051,904552,873121,439
2694,1960,2030,5806,982594,1057293,875424,465,877682,867532,877233,503
2447,2332,2000,2004,1045002,1096240,852836,456,862073,872079,851818,531
2536,1925,2030,2099,1071054,1095350,847312,736,869791,902041,865698,681
3330,3292,1969,2231,1080046,1023019,811139,480,854304,847265,834254,454
2259,2219,1965,1982,982588,1079656,822651,480,827262,857284,854319,454
